epoch,ddpm_loss
1,1.0675246715545654
2,1.02376127243042
3,0.9852759838104248
4,0.949515163898468
5,0.9354894161224365
6,0.9159576892852783
7,0.8892614245414734
8,0.8765836954116821
9,0.8656895756721497
10,0.8477309346199036
11,0.8331648707389832
12,0.8119444847106934
13,0.7841011881828308
14,0.7805272936820984
15,0.7656505107879639
16,0.7510191202163696
17,0.7372061014175415
18,0.7516092658042908
19,0.7230139970779419
20,0.7189190983772278
21,0.7101961374282837
22,0.679602861404419
23,0.6697447896003723
24,0.6469788551330566
25,0.6485970616340637
26,0.6618046164512634
27,0.6451013088226318
28,0.612994372844696
29,0.6146306395530701
30,0.6106368899345398
31,0.6051206588745117
32,0.6042940020561218
33,0.5920228958129883
34,0.5858704447746277
35,0.591347873210907
36,0.5550228357315063
37,0.5529346466064453
38,0.554221510887146
39,0.5366498827934265
40,0.5498374104499817
41,0.546430230140686
42,0.5435617566108704
43,0.522386372089386
44,0.511277973651886
45,0.5109127163887024
46,0.5267563462257385
47,0.5188627243041992
48,0.486609548330307
49,0.47730812430381775
50,0.47888460755348206
51,0.4846850335597992
52,0.4973447024822235
53,0.4705178141593933
54,0.45490095019340515
55,0.4558156430721283
56,0.46740445494651794
57,0.4648365080356598
58,0.44973024725914
59,0.4368063807487488
60,0.45575112104415894
61,0.4188004732131958
62,0.42228174209594727
63,0.4321654438972473
64,0.42662447690963745
65,0.40199995040893555
66,0.419027179479599
67,0.4051196277141571
68,0.4129335582256317
69,0.42613086104393005
70,0.41313257813453674
71,0.4184201657772064
72,0.3970775306224823
73,0.3866989314556122
74,0.37915852665901184
75,0.40016141533851624
76,0.3749638795852661
77,0.37722334265708923
78,0.3966321051120758
79,0.37685638666152954
80,0.3880728483200073
81,0.35278061032295227
82,0.3667939007282257
83,0.3567696511745453
84,0.38512828946113586
85,0.3917100131511688
86,0.35508257150650024
87,0.3669033646583557
88,0.36653342843055725
89,0.35096868872642517
90,0.3496643900871277
91,0.35147586464881897
92,0.3582135736942291
93,0.3301393687725067
94,0.35004472732543945
95,0.35459721088409424
96,0.3518657684326172
97,0.33363762497901917
98,0.3373975455760956
99,0.3177807927131653
100,0.3246714770793915
101,0.32058459520339966
102,0.33820414543151855
103,0.3223801851272583
104,0.34046122431755066
105,0.3414115011692047
106,0.3039626181125641
107,0.32007744908332825
108,0.31765350699424744
109,0.32168740034103394
110,0.32461902499198914
111,0.3016909956932068
112,0.3157743215560913
113,0.30950507521629333
114,0.29573267698287964
