stage,epoch,loss_anom,loss_bal,raw_mean_TCN-AE,raw_std_TCN-AE,z_mean_TCN-AE,z_std_TCN-AE,gate_mean_TCN-AE,raw_mean_GAN,raw_std_GAN,z_mean_GAN,z_std_GAN,gate_mean_GAN,raw_mean_DDPM,raw_std_DDPM,z_mean_DDPM,z_std_DDPM,gate_mean_DDPM
2,1,0.47074106335639954,1.007166862487793,0.07576613128185272,0.07122304290533066,-1.2226593959496768e-08,1.0,0.41943034529685974,0.5179624557495117,0.010749723762273788,-7.09142454979883e-07,0.21499446034431458,0.5341513752937317,0.19082054495811462,0.02736694924533367,2.7306060701448587e-07,0.5473390221595764,0.046418286859989166
2,2,0.07087818533182144,1.01047945022583,0.07576613128185272,0.07122304290533066,-1.2226593959496768e-08,1.0,0.44023698568344116,0.5179624557495117,0.010749723762273788,-7.09142454979883e-07,0.21499446034431458,0.5428714752197266,0.19082054495811462,0.02736694924533367,2.7306060701448587e-07,0.5473390221595764,0.01689150370657444
2,3,0.07667962461709976,1.011871337890625,0.07576613128185272,0.07122304290533066,-1.2226593959496768e-08,1.0,0.4454859793186188,0.5179624557495117,0.010749723762273788,-7.09142454979883e-07,0.21499446034431458,0.549156129360199,0.19082054495811462,0.02736694924533367,2.7306060701448587e-07,0.5473390221595764,0.0053579360246658325
2,4,0.15745551884174347,1.0265133380889893,0.07576613128185272,0.07122304290533066,-1.2226593959496768e-08,1.0,0.44160494208335876,0.5179624557495117,0.010749723762273788,-7.09142454979883e-07,0.21499446034431458,0.5568102598190308,0.19082054495811462,0.02736694924533367,2.7306060701448587e-07,0.5473390221595764,0.0015848628245294094
2,5,0.06579405069351196,1.0275495052337646,0.07576613128185272,0.07122304290533066,-1.2226593959496768e-08,1.0,0.43511325120925903,0.5179624557495117,0.010749723762273788,-7.09142454979883e-07,0.21499446034431458,0.5633496642112732,0.19082054495811462,0.02736694924533367,2.7306060701448587e-07,0.5473390221595764,0.0015371035551652312
2,6,0.4197569489479065,1.0278303623199463,0.07576613128185272,0.07122304290533066,-1.2226593959496768e-08,1.0,0.42714935541152954,0.5179624557495117,0.010749723762273788,-7.09142454979883e-07,0.21499446034431458,0.5713623762130737,0.19082054495811462,0.02736694924533367,2.7306060701448587e-07,0.5473390221595764,0.0014882897958159447
2,7,0.2738020420074463,1.0620391368865967,0.07576613128185272,0.07122304290533066,-1.2226593959496768e-08,1.0,0.4192115068435669,0.5179624557495117,0.010749723762273788,-7.09142454979883e-07,0.21499446034431458,0.5793148875236511,0.19082054495811462,0.02736694924533367,2.7306060701448587e-07,0.5473390221595764,0.0014736439334228635
2,8,0.06892286241054535,1.0378282070159912,0.07576613128185272,0.07122304290533066,-1.2226593959496768e-08,1.0,0.41188669204711914,0.5179624557495117,0.010749723762273788,-7.09142454979883e-07,0.21499446034431458,0.5866551995277405,0.19082054495811462,0.02736694924533367,2.7306060701448587e-07,0.5473390221595764,0.0014581911964341998
2,9,0.0618537962436676,1.0615146160125732,0.07576613128185272,0.07122304290533066,-1.2226593959496768e-08,1.0,0.4051152467727661,0.5179624557495117,0.010749723762273788,-7.09142454979883e-07,0.21499446034431458,0.593442440032959,0.19082054495811462,0.02736694924533367,2.7306060701448587e-07,0.5473390221595764,0.0014423601096495986
2,10,0.0618361234664917,1.056922197341919,0.07576613128185272,0.07122304290533066,-1.2226593959496768e-08,1.0,0.39901086688041687,0.5179624557495117,0.010749723762273788,-7.09142454979883e-07,0.21499446034431458,0.5995630621910095,0.19082054495811462,0.02736694924533367,2.7306060701448587e-07,0.5473390221595764,0.0014260576572269201
