expert,params,loss_ep1,loss_ep25,loss_ep50,loss_ep75,loss_ep100,loss_final,loss_min,loss_min_epoch,standalone_roc_auc,standalone_pr_auc,standalone_f1,standalone_precision,standalone_recall,TP,FP,FN,TN
GRU-AE,64652,0.9941059350967407,0.5796487331390381,0.2852559983730316,0.15380755066871643,0.11775006353855133,0.11775006353855133,0.11685243993997574,99,0.9728639930252834,0.991161504901239,0.9768211920529801,0.9577922077922078,0.9966216216216216,295,13,1,49
TCN-AE,101836,1.0041632652282715,0.454448938369751,0.21211816370487213,0.1236962080001831,0.07847810536623001,0.07847810536623001,0.07847810536623001,100,0.9703574542284219,0.9903248642664164,0.9051987767584098,0.8268156424581006,1.0,296,62,0,0
GAT-AE,15768,1.0193678140640259,0.9689408540725708,0.9100221395492554,0.8607158660888672,0.8210817575454712,0.8210817575454712,0.8210817575454712,100,0.9764058413251961,0.9923502265132177,0.9768211920529801,0.9577922077922078,0.9966216216216216,295,13,1,49
