attack,n_attack_seq,roc_auc,pr_auc
c_d,67,0.961482908040443,0.8955445255531315
c_r,81,0.9516129032258065,0.8821985295832744
f_i,60,0.9620967741935484,0.9186985295005584
m_f,58,1.0,1.0
p_i,30,1.0,1.0
