stage,epoch,stage3_epoch,loss_anom,loss_bal,raw_mean_TCN-AE,raw_std_TCN-AE,z_mean_TCN-AE,z_std_TCN-AE,gate_mean_TCN-AE,raw_mean_GAN,raw_std_GAN,z_mean_GAN,z_std_GAN,gate_mean_GAN,raw_mean_DDPM,raw_std_DDPM,z_mean_DDPM,z_std_DDPM,gate_mean_DDPM
3,51,1,0.06294049322605133,1.5174732208251953,0.08791958540678024,0.07023682445287704,0.17063936591148376,0.986153244972229,0.24512168765068054,0.5179624557495117,0.010749723762273788,-7.09142454979883e-07,0.21499446034431458,0.7542169094085693,0.19363722205162048,0.027745051309466362,0.056333884596824646,0.5549010038375854,0.0006613750010728836
3,52,2,0.030509451404213905,1.5159668922424316,0.08148790150880814,0.06985054910182953,0.08033597469329834,0.9807296395301819,0.244708850979805,0.5179624557495117,0.010749723762273788,-7.09142454979883e-07,0.21499446034431458,0.7546330690383911,0.19938765466213226,0.028236327692866325,0.17134252190589905,0.5647265315055847,0.0006580710760317743
3,53,3,0.028909888118505478,1.4979920387268066,0.08422663062810898,0.06976085156202316,0.11878885328769684,0.9794703125953674,0.24443279206752777,0.5179624557495117,0.010749723762273788,-7.09142454979883e-07,0.21499446034431458,0.7549120783805847,0.19856780767440796,0.028417209163308144,0.15494485199451447,0.5683441758155823,0.0006550534744746983
3,54,4,0.02382253296673298,1.5363224744796753,0.08161378651857376,0.06960932165384293,0.08210346102714539,0.9773426651954651,0.24425248801708221,0.5179624557495117,0.010749723762273788,-7.09142454979883e-07,0.21499446034431458,0.7550950050354004,0.1958208680152893,0.0283735990524292,0.10000616312026978,0.5674719214439392,0.0006525028729811311
3,55,5,0.02567099779844284,1.5167319774627686,0.08042217791080475,0.06958841532468796,0.0653727650642395,0.9770491719245911,0.24418561160564423,0.5179624557495117,0.010749723762273788,-7.09142454979883e-07,0.21499446034431458,0.7551643252372742,0.19460134208202362,0.028378956019878387,0.07561586052179337,0.5675790905952454,0.0006500555900856853
3,56,6,0.06514225900173187,1.4855501651763916,0.08227209746837616,0.06965527683496475,0.0913463681936264,0.9779879450798035,0.24381545186042786,0.5179624557495117,0.010749723762273788,-7.09142454979883e-07,0.21499446034431458,0.7555375099182129,0.19507083296775818,0.028429487720131874,0.08500582724809647,0.5685897469520569,0.0006470056832768023
3,57,7,0.028492463752627373,1.536378264427185,0.08596055954694748,0.06986243277788162,0.14313380420207977,0.980896532535553,0.24353748559951782,0.5179624557495117,0.010749723762273788,-7.09142454979883e-07,0.21499446034431458,0.7558184266090393,0.19471581280231476,0.028407160192728043,0.07790549099445343,0.5681431889533997,0.0006440856959670782
3,58,8,0.035492368042469025,1.4934066534042358,0.08252158015966415,0.06901421397924423,0.09484908729791641,0.9689871668815613,0.24321237206459045,0.5179624557495117,0.010749723762273788,-7.09142454979883e-07,0.21499446034431458,0.7561465501785278,0.194106787443161,0.028147082775831223,0.06572514772415161,0.5629416704177856,0.0006410834612324834
3,59,9,0.02663646824657917,1.5420448780059814,0.08227366209030151,0.06876721978187561,0.09136830270290375,0.9655193090438843,0.2429742068052292,0.5179624557495117,0.010749723762273788,-7.09142454979883e-07,0.21499446034431458,0.7563874125480652,0.1944870948791504,0.028124377131462097,0.07333134859800339,0.5624875426292419,0.0006383520667441189
3,60,10,0.024989280849695206,1.5156986713409424,0.08298124372959137,0.06869836896657944,0.10130295157432556,0.9645524621009827,0.24282608926296234,0.5179624557495117,0.010749723762273788,-7.09142454979883e-07,0.21499446034431458,0.7565382122993469,0.19511117041110992,0.028161203488707542,0.08581258356571198,0.5632240772247314,0.0006357521051540971
3,61,11,0.025899851694703102,1.5115681886672974,0.0831994116306305,0.06867969036102295,0.10436626523733139,0.964290201663971,0.242743581533432,0.5179624557495117,0.010749723762273788,-7.09142454979883e-07,0.21499446034431458,0.7566230893135071,0.19487759470939636,0.02809074893593788,0.08114119619131088,0.5618149638175964,0.0006332301418296993
3,62,12,0.025594370439648628,1.5262439250946045,0.08245836198329926,0.06869615614414215,0.09396152943372726,0.9645214080810547,0.2427244633436203,0.5179624557495117,0.010749723762273788,-7.09142454979883e-07,0.21499446034431458,0.756644606590271,0.19546571373939514,0.02827201597392559,0.09290341287851334,0.56544029712677,0.0006308946758508682
3,63,13,0.07064852118492126,1.5499112606048584,0.08228491246700287,0.06861045956611633,0.0915263444185257,0.9633182883262634,0.24242442846298218,0.5179624557495117,0.010749723762273788,-7.09142454979883e-07,0.21499446034431458,0.7569476962089539,0.19618193805217743,0.02864808216691017,0.1072278842329979,0.572961688041687,0.0006278455839492381
3,64,14,0.04258585721254349,1.571602463722229,0.0839705541729927,0.06859622150659561,0.11519348621368408,0.963118314743042,0.24205335974693298,0.5179624557495117,0.010749723762273788,-7.09142454979883e-07,0.21499446034431458,0.7573220133781433,0.1970832496881485,0.029191873967647552,0.12525413930416107,0.5838375091552734,0.0006246508564800024
3,65,15,0.03582563251256943,1.543278455734253,0.08459927141666412,0.06857256591320038,0.12402092665433884,0.9627862572669983,0.2416268140077591,0.5179624557495117,0.010749723762273788,-7.09142454979883e-07,0.21499446034431458,0.7577518820762634,0.1974511444568634,0.029586169868707657,0.13261237740516663,0.5917233824729919,0.0006213329033926129
