model,recon_loss_proxy,auc_train_vs_test_normal
TCN-AE,0.08437792211771011,0.9959332781913427
GAN,0.5179624557495117,0.834091535704439
DDPM,0.19820883870124817,1.0
MoE,,0.9990350151640475
