epoch,GRU-AE,TCN-AE,GAT-AE
1,0.9941059350967407,1.0041632652282715,1.0193678140640259
2,0.9691951274871826,0.9984667301177979,1.0161207914352417
3,0.9446315169334412,0.9925816655158997,1.0133388042449951
4,0.9228941202163696,0.9844980835914612,1.0109508037567139
5,0.9009304642677307,0.972905158996582,1.0088932514190674
6,0.8789624571800232,0.9564754962921143,1.0071135759353638
7,0.8578140139579773,0.9328348636627197,1.005569577217102
8,0.8380919098854065,0.9004575610160828,1.004218578338623
9,0.8198619484901428,0.8598271608352661,1.0030126571655273
10,0.8013772964477539,0.8131610155105591,1.0018936395645142
11,0.7847759127616882,0.7704067826271057,1.0007926225662231
12,0.7697137594223022,0.7447643876075745,0.9996311068534851
13,0.753811240196228,0.72467041015625,0.9983258843421936
14,0.7393324971199036,0.6893618702888489,0.9967935085296631
15,0.7247475385665894,0.6444067358970642,0.9949555993080139
16,0.7102815508842468,0.6031050682067871,0.9927438497543335
17,0.6966001391410828,0.5717036724090576,0.9901079535484314
18,0.6815941333770752,0.5456865429878235,0.9870315790176392
19,0.667060136795044,0.5219138264656067,0.9835548996925354
20,0.6535604596138,0.5332486629486084,0.9798098802566528
21,0.6389224529266357,0.5269598364830017,0.9760748744010925
22,0.6236444711685181,0.4732532203197479,0.9728237986564636
23,0.6095908880233765,0.48784828186035156,0.9706323146820068
24,0.5946959853172302,0.44706445932388306,0.9696466326713562
25,0.5796487331390381,0.454448938369751,0.9689408540725708
26,0.5657379031181335,0.42547038197517395,0.9673352837562561
27,0.5509155988693237,0.421686053276062,0.9646689891815186
28,0.5373757481575012,0.40957552194595337,0.9615402221679688
29,0.523479163646698,0.39339885115623474,0.9585769772529602
30,0.5085031390190125,0.39054906368255615,0.9560590982437134
31,0.4965532124042511,0.3685401976108551,0.9538996815681458
32,0.4821424186229706,0.3664048910140991,0.9518116116523743
33,0.4700508415699005,0.3543507754802704,0.9495072364807129
34,0.45800745487213135,0.34040138125419617,0.9468165040016174
