feature,train_mean,train_std,test_mean,test_std,mean_diff,rel_shift,ks_stat,ks_pvalue
pkt_count,1746.3333333333333,107.4095013339182,1680.4291666666666,151.1813590227718,-65.9041666666667,-0.03773859515174654,0.4482600732600733,1.1665710388553307e-23
dt_mean,0.0005717670519007496,2.4093354121060815e-05,0.0006067768824316314,0.00015693653091469173,3.500983053088182e-05,0.06123093384709236,0.44761904761904764,1.3706768571994444e-23
multicast_ratio,0.011750530348755705,0.00271548877712981,0.012450046433882903,0.00405372020254021,0.0006995160851271977,0.059530596863763795,0.38635531135531137,1.53569389779139e-17
vlan_ratio,0.26054988325860795,0.019057852477028483,0.27478509732203915,0.06809266029852108,0.0142352140634312,0.05463527323595875,0.1940018315018315,0.00010783410417053016
pkt_len_mean,157.60480265504353,7.133390779168892,162.9320352194173,25.50088074407102,5.327232564373759,0.0338012070357634,0.1929945054945055,0.0001193680112338898
pkt_len_std,163.8970769480196,3.932070836644501,164.68247343433455,8.925723693144077,0.7853964863149656,0.004792010333192558,0.18466117216117217,0.000270894333305215
bytes_sum,275163.64835164836,21097.570549705164,270707.725,19347.263083126472,-4455.92335164838,-0.016193721003269605,0.12715201465201464,0.028665558815716717
uniq_dst_mac,5.091575091575091,0.32429479822551444,4.9625,0.380035634294119,-0.1290750915750909,-0.0253507194244603,0.08800366300366301,0.25569190875329495
uniq_src_mac,4.208791208791209,0.8917589752614462,4.204166666666667,0.9595915653142343,-0.00462454212454233,-0.001098781549173243,0.06414835164835164,0.6376341298757381
dt_std,0.0006937323446438229,0.0001273353076355289,0.0007490348719168357,0.0005918105559420924,5.5302527273012815e-05,0.07971738336837433,0.06291208791208791,0.6612663429432103
uniq_ip_dst,1.0695970695970696,0.2544667316184382,1.0416666666666667,0.2379017070603367,-0.02793040293040283,-0.026113013698630044,0.019597069597069597,0.9999999954284541
uniq_ip_src,1.0695970695970696,0.2544667316184382,1.0416666666666667,0.2379017070603367,-0.02793040293040283,-0.026113013698630044,0.019597069597069597,0.9999999954284541
