sample_set,expert,n_samples,raw_mean,raw_std,z_mean,z_std,gate_mean,gate_std,contrib_mean,contrib_std,frac_mag_mean,frac_mag_std,sigma_used
train_normal,TCN-AE,234,0.08437912,0.06658942,0.12092954,0.93494207,0.23950851,0.051368184,0.022820268,0.0949335,0.42918104,0.2509014,0.07122304290533066
train_normal,GAN,234,0.5179623,0.010749723,-6.9487805e-07,0.21499452,0.7599062,0.04937773,0.007652401,0.1531767,0.56971574,0.24957585,0.05000000074505806
train_normal,DDPM,234,0.19820888,0.029262552,0.14776595,0.5852512,0.0005852092,0.008932831,0.00069908774,0.010671111,0.0011032458,0.016840316,0.05000000074505806
test_normal,TCN-AE,62,0.98592025,3.8079722,12.778928,53.465458,0.24253713,0.046370666,0.9576533,1.6404927,0.6897126,0.13455936,0.07122304290533066
test_normal,GAN,62,0.53100175,0.014934063,0.26078635,0.2986812,0.7574629,0.046370674,0.19236341,0.25656757,0.3102874,0.13455936,0.05000000074505806
test_normal,DDPM,62,0.9696807,1.7046945,15.577203,34.093895,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806
test_attack,TCN-AE,296,49650.145,112520.06,697106.56,1579827.5,0.07012981,0.10271192,20.337648,49.53771,0.5015057,0.31692633,0.07122304290533066
test_attack,GAN,296,0.544629,0.3021056,0.53333396,6.042111,0.9298704,0.10271191,0.8248717,5.684055,0.49849445,0.31692642,0.05000000074505806
test_attack,DDPM,296,34598.242,79335.7,691960.94,1586713.5,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806
