model,n_train_normal,n_test_normal,n_test_attack,train_normal_mean,train_normal_std,test_normal_mean,test_normal_std,test_attack_mean,test_attack_std,auc_train_vs_test_normal,auc_test_normal_vs_attack,auc_train_normal_vs_attack
GRU-AE,234,62,296,0.048969365656375885,0.06791960448026657,1.3167306184768677,6.376741886138916,162444.796875,369487.5625,0.9402398676592225,0.9728639930252834,0.9997689997689998
TCN-AE,234,62,296,0.07635574787855148,0.07014308869838715,0.9428650736808777,3.7034780979156494,72572.7265625,166030.765625,0.9959332781913427,0.9686137750653879,0.9996823746823748
GAT-AE,234,62,296,0.823920726776123,0.16312633454799652,2.1328115463256836,6.337414741516113,92149.6640625,201279.75,0.6206231044940723,0.9742262423714037,0.9987872487872487
MoE,234,62,296,0.06407898664474487,0.06711592525243759,0.9538663029670715,4.029857635498047,63928.97265625,145855.96875,0.9953818582850841,0.9703574542284219,0.9998989373989374
